# modelIndex x y z rotationX rotationY rotationZ scale
2 -0.0 -2.0 -144.0 0.0 0.0 0.0 1.6
2 -144.0 -2.0 0.0 0.0 90.0 0.0 1.6
2 144.0 -2.0 0.0 0.0 -90.0 0.0 1.6
3 0.0 65.0 -165.0 0.0 -180.0 0.0 1.8
0 110.0 10.0 -170.0 0.0 0.0 0.0 7.0
0 -110.0 10.0 -170.0 0.0 0.0 0.0 7.0
0 -170.0 10.0 110.0 0.0 90.0 0.0 7.0
0 -170.0 10.0 -110.0 0.0 90.0 0.0 7.0
0 170.0 10.0 -110.0 0.0 -90.0 0.0 7.0
0 170.0 10.0 110.0 0.0 -90.0 0.0 7.0
0 -180.0 10.0 0.0 0.0 90.0 0.0 12.0
0 180.0 10.0 0.0 0.0 -90.0 0.0 12.0
5 2.1 7.0 38.1 0.0 0.0 0.0 0.7
4 0.0 -3.0 140.0 0.0 0.0 0.0 0.2
1 0.0 0.0 -186.7 0.0 0.0 0.0 18.0
2 0.0 12.0 -170.0 0.0 0.0 0.0 1.0
7 -48.9 -2.0 138.7 0.0 15.0 0.0 3.1
7 48.9 -2.0 138.7 0.0 -15.0 0.0 3.1
7 -41.2 -1.0 -107.9 0.0 0.0 0.0 3.2
7 41.2 -1.0 -107.9 0.0 0.0 0.0 3.2
6 -120.0 -3.0 120.0 0.0 0.0 0.0 6.2
6 120.0 -3.0 120.0 0.0 0.0 0.0 6.2
6 -120.0 -3.0 -120.0 0.0 0.0 0.0 6.2
6 120.0 -3.0 -120.0 0.0 0.0 0.0 6.2
6 96.0 0.0 117.0 105.0 0.0 -90.0 6.2
7 75.0 0.0 -119.0 30.0 -15.0 -90.0 3.1
